BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16083,34, ,B1,305 BEACH 70TH STREET                    ,            ,11692,2,0,2,2850,3900,1920,1,B1,370000,2011-08-08
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16090,37, ,B2,75-06 AQUATIC DRIVE                      ,            ,11692,2,0,2,1746,3681,2004,1,B2,487000,2011-12-20
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16092,5, ,B1,6912 BEACH FRONT ROAD                    ,            ,11692,2,0,2,3510,2520,2007,1,B1,896060,2011-02-16
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16092,6, ,B1,6916 BEACH FRONT ROAD                    ,            ,11692,2,0,2,3557,2520,2007,1,B1,804417,2011-06-08
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16092,55, ,B2,6905 CORAL REEF WAY                      ,            ,11692,2,0,2,2384,2926,2008,1,B2,0,2011-09-10
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16092,98, ,B2,176 BEACH 73RD STREET                    ,            ,11692,2,0,2,2901,2905,2007,1,B2,0,2011-12-02
4,ARVERNE                  ,03  THREE FAMILY HOMES                      ,1,15903,36, ,C0,167 BEACH 60 STREET                      ,            ,11692,3,0,3,2000,3120,2005,1,C0,400000,2011-09-08
4,ARVERNE                  ,03  THREE FAMILY HOMES                      ,1,15903,36, ,C0,167 BEACH 60TH ST                        ,            ,11692,3,0,3,2000,3120,2005,1,C0,280000,2011-03-03
4,ARVERNE                  ,03  THREE FAMILY HOMES                      ,1,15915,57, ,C0,345 BEACH 67 STREET                      ,            ,11692,3,0,3,4500,3691,1905,1,C0,468000,2011-06-29
4,ARVERNE                  ,03  THREE FAMILY HOMES                      ,1,15915,68, ,C0,323 BEACH 67TH STREET                    ,            ,11692,3,0,3,2882,1920,1920,1,C0,370000,2011-03-31
4,ARVERNE                  ,03  THREE FAMILY HOMES                      ,1,15952,19, ,C0,436 BEACH 36TH STREET                    ,            ,11691,3,0,3,4600,2550,1940,1,C0,436000,2011-01-07
4,ARVERNE                  ,03  THREE FAMILY HOMES                      ,1,16033,56, ,C0,531 BEACH 66TH STREET                    ,            ,11692,3,0,3,4000,2488,1925,1,C0,0,2011-01-04
